mes,ventas_mercado_valor,valor_share_implicito,share_compania_prom,share_competidor_1_prom,share_competidor_2_prom,compania_sellout_valor,brecha_share_comp1_pp,brecha_share_comp2_pp,share_change_pp
2025-01-01,2652549200,339063799.3664978,0.10786704127709239,0.19420930232558137,0.15169767441860466,982938200,-8.634226104848898,-4.383063314151227,
2025-02-01,2412858290,307749713.0422877,0.10834190424350991,0.19486046511627905,0.14946511627906978,889214350,-8.651856087276915,-4.112321203555987,0.04748629664175219
2025-03-01,2652369990,339655399.76928926,0.11054296276309974,0.19475609756097562,0.15485365853658536,976036170,-8.421313479787587,-4.431069577348562,0.22010585195898352
2025-04-01,2644847870,338049832.7689115,0.11003650837712071,0.19916666666666666,0.16173809523809524,983285900,-8.913015828954594,-5.170158686097452,-0.05064543859790299
2025-05-01,2769440940,355493430.3007238,0.11134153927739264,0.19476190476190475,0.15726190476190474,1040282630,-8.34203654845121,-4.59203654845121,0.13050309002719251
2025-06-01,2715331840,345546281.17241156,0.11130460657278735,0.19378571428571428,0.15552380952380954,1005317180,-8.248110771292694,-4.421920295102219,-0.0036932704605294187
2025-07-01,2919426650,370874971.91781074,0.11135997388091894,0.19702380952380955,0.15664285714285714,1091176000,-8.566383564289062,-4.52828832619382,0.00553673081315903
2025-08-01,2889104920,368638427.4462441,0.11240122977933661,0.19921428571428573,0.15876190476190477,1072678100,-8.681305593494912,-4.636067498256816,0.10412558984176784
2025-09-01,2810798690,357075389.6529616,0.1126218210143669,0.2004285714285714,0.15978571428571428,1053050130,-8.780675041420452,-4.716389327134738,0.02205912350302791
2025-10-01,3056641860,387745869.7637247,0.112124466164108,0.20027906976744186,0.1602093023255814,1145829150,-8.815460360333386,-4.808483616147339,-0.04973548502588965
2025-11-01,3195415400,403793547.497548,0.11344540923025387,0.19762790697674418,0.1566046511627907,1275110270,-8.41824977464903,-4.315924193253684,0.13209430661458715
2025-12-01,3730881770,470113039.8112379,0.11326694385981753,0.19795348837209303,0.1597441860465116,1574685560,-8.46865445122755,-4.647724218669408,-0.017846537043633703
